# Backtest Report Metadata
# Generated: 2026-03-25 00:09:59.114800
# Backtest Date: 2026-03-25 00:09:59.114740
# Data Range: ('2024-12-19', '2025-03-19')
# Signal Count: 100
# ML Model Version: N/A

# Trade Results

entry_time,exit_time,entry_price,exit_price,direction,pnl,return_pct,timestamp
2025-01-02 05:17:00,2025-01-02 05:47:00,21345.5,21384.059888270855,bullish,38.55988827085457,0.18064645134035076,2026-03-25 00:09:59.114906
2025-01-02 05:48:00,2025-01-02 06:18:00,21370.0,21329.906975991737,bearish,40.093024008263455,0.18761358918232782,2026-03-25 00:09:59.114906
2025-01-02 07:02:00,2025-01-02 07:32:00,21376.5,21396.50391164644,bullish,20.00391164643952,0.09357898461600131,2026-03-25 00:09:59.114906
2025-01-02 14:35:00,2025-01-02 15:05:00,21266.75,21261.76741711832,bearish,4.982582881679264,0.023428981304991426,2026-03-25 00:09:59.114906
2025-01-03 16:16:00,2025-01-03 16:46:00,21373.25,21425.908475657026,bullish,52.65847565702643,0.24637561277309922,2026-03-25 00:09:59.114906
2025-01-03 17:30:00,2025-01-03 18:00:00,21455.5,21524.664656491885,bullish,69.16465649188467,0.322363293756308,2026-03-25 00:09:59.114906
2025-01-03 18:45:00,2025-01-03 19:15:00,21528.0,21492.05071406886,bearish,35.94928593113946,0.16698850766972992,2026-03-25 00:09:59.114906
2025-01-06 13:26:00,2025-01-06 13:56:00,21728.75,21650.80692779192,bearish,77.94307220807968,0.35870941590326033,2026-03-25 00:09:59.114906
2025-01-06 16:14:00,2025-01-06 16:44:00,21889.75,21929.665686967954,bullish,39.91568696795366,0.18234875669184736,2026-03-25 00:09:59.114906
2025-01-07 16:58:00,2025-01-07 17:28:00,21430.0,21429.009333555252,bearish,0.990666444748058,0.004622801888698357,2026-03-25 00:09:59.114906
2025-01-08 09:12:00,2025-01-08 09:42:00,21421.0,21483.51181726414,bullish,62.51181726414143,0.29182492537295845,2026-03-25 00:09:59.114906
2025-01-08 17:23:00,2025-01-08 17:53:00,21239.5,21207.20084251482,bearish,32.29915748518033,0.15207117627618508,2026-03-25 00:09:59.114906
2025-01-10 06:04:00,2025-01-10 06:34:00,21282.0,21217.967172185017,bearish,64.03282781498274,0.30087786775200986,2026-03-25 00:09:59.114906
2025-01-10 14:42:00,2025-01-10 15:12:00,21089.0,21104.236222891366,bullish,15.236222891366197,0.07224725160683862,2026-03-25 00:09:59.114906
2025-01-10 15:52:00,2025-01-10 16:22:00,21052.0,21102.77835370153,bullish,50.77835370153116,0.24120441621475944,2026-03-25 00:09:59.114906
2025-01-10 17:06:00,2025-01-10 17:36:00,20904.0,20878.924838490413,bearish,25.075161509586906,0.11995389164555542,2026-03-25 00:09:59.114906
2025-01-10 18:15:00,2025-01-10 18:45:00,21049.75,21003.41097791008,bearish,46.339022089920036,0.22014048665623126,2026-03-25 00:09:59.114906
2025-01-12 23:34:00,2025-01-13 00:04:00,21007.25,20949.13120151538,bearish,58.11879848461831,0.27666066945753637,2026-03-25 00:09:59.114906
2025-01-13 02:00:00,2025-01-13 02:30:00,20930.5,20877.45371984242,bearish,53.04628015758135,0.25344010012938706,2026-03-25 00:09:59.114906
